id,item,price,inv
1,ACETATE,15.0,69
2,BIODATA,1.0,100
3,"BIND ACETATE",15.0,100
4,"BOND 10 pcs",10.0,90
5,"BOND 16 - S",180.0,100
6,"BOND 16 - L",210.0,100
7,"BOND 20 - S",200.0,100
8,"BOND 20 - L",230.0,100
9,"BOND 20 A4",230.0,100
10,"CARBON PAPER - S",3.0,100
11,"CARBON PAPER - L",4.0,100
12,"BROWN ENV. S",4.0,100
13,"BROWN ENV. L",5.0,100
14,"LETTER ENV. S",2.0,100
15,"LETTER ENV. L",3.0,100
16,"WHITE FOLDER - S",6.0,100
17,"WHITE FOLDER - L",7.0,100
18,FASTENER,2.0,100
19,"CD-R (700 MB)",20.0,100
